bookid,title,image_url,authors,subjects,isbn,publisher,ratings,rating_count
17,"Biometric systems : technology, design, and performance evaluation  ",https://images-na.ssl-images-amazon.com/images/P/1852335963.01.TZZZZZZZ.jpg,"Wayman, James",Biometric identification,9.78185E+12,London : Springer,0,0
18,Introduction to computer theory,https://images-na.ssl-images-amazon.com/images/P/0471137723.01.TZZZZZZZ.jpg,"Cohen, Daniel I. A",Computer Science and Engineering | Electronic digital computers | Computer language | Automata theory,9.78047E+12,New York : Wiley,0,0
19,"Reactive systems : modelling, specification and verification  ",https://images-na.ssl-images-amazon.com/images/P/0521875463.01.TZZZZZZZ.jpg,"Aceto, Luca | Anna Ingólfsdóttir | Larsen, K. G | Srba, Jiřiʹ",Expert systems (Computer science) -- Validation | Expert systems (Computer science) -- Verification | System design -- Mathematical models,9.78052E+12,New Delhi ; New York : Cambridge University Press,0,0
20,Distributed algorithms,https://images-na.ssl-images-amazon.com/images/P/1558603484.01.TZZZZZZZ.jpg,"Lynch, Nancy A",Computer algorithms | Electronic data processing -- Distributed processing,1558603484,New Delhi. : Morgan Kaufmann,0,0
21,Spin model checker : primer and reference manual,https://images-na.ssl-images-amazon.com/images/P/0321228626.01.TZZZZZZZ.jpg,"Holzmann, Gerard J",Systems engineering -- Mathematical models | Computer programs -- Testing,321228626,Boston : Addison-Wesley,0,0
22,Distributed systems : principles and paradigms,https://images-na.ssl-images-amazon.com/images/P/8120334981.01.TZZZZZZZ.jpg,"Tanenbaum, Andrew S | Steen, Maarten van",Electronic data processing -- Distributed processing | Distributed operating systems (Computers),9.78812E+12,New Delhi : Pearson/Prentice Hall,0,0
23,Database system concepts,https://images-na.ssl-images-amazon.com/images/P/007124476X.01.TZZZZZZZ.jpg,"Silberschatz, Abraham | Korth, Henry F | Sudarshan, S",Database management | Databases | Data Warehousing | Data Mining,9.78007E+12,New York : McGraw Hill,0,0
24,Fundamentals of database systems,https://images-na.ssl-images-amazon.com/images/P/8131716252.01.TZZZZZZZ.jpg,"Elmasri, Ramez | Navathe, Sham",Database management,9.78813E+12,Boston : Pearson,0,0
25,Database management systems,https://images-na.ssl-images-amazon.com/images/P/007123151X.01.TZZZZZZZ.jpg,"Ramakrishnan, Raghu | Gehrke, Johannes",Database management,9.78007E+12,Boston : McGraw Hill Education,0,0
26,"Transactional information systems : theory, algorithms, and the practice of concurrency control and recovery  ",https://images-na.ssl-images-amazon.com/images/P/1558605088.01.TZZZZZZZ.jpg,"Weikum, Gerhard | Vossen, Gottfried",Transaction systems (Computer systems),9.78156E+12,San Francisco : Morgan Kaufmann,0,0
27,Transaction processing : concepts and techniques,https://images-na.ssl-images-amazon.com/images/P/1558601902.01.TZZZZZZZ.jpg,"Gray, Jim | Reuter, A",Transaction systems (Computer systems),9.78156E+12,San Mateo Calif. : Morgan Kaufmann,0,0
28,Data mining : concepts and techniques,https://images-na.ssl-images-amazon.com/images/P/1558609016.01.TZZZZZZZ.jpg,"Han, Jiawei | Kamber, Micheline",Data mining | Exploration de données (Informatique),9.78156E+12,New Delhi : Morgan Kaufmann,0,0
29,Data mining : practical machine learning tools and techniques,https://images-na.ssl-images-amazon.com/images/P/8131200507.01.TZZZZZZZ.jpg,"Witten, I. H | Frank, Eibe",Data mining,9.78813E+12,Amsterdam ; Morgan Kaufmann,0,0
30,Introduction to data mining,https://images-na.ssl-images-amazon.com/images/P/8131714721.01.TZZZZZZZ.jpg,"Tan, Pang-Ning | Steinbach, Michael | Kumar, Vipin",Data mining,9.78813E+12,New Delhi : Pearson,0,0
31,Hughes electrical and electronic technology,https://images-na.ssl-images-amazon.com/images/P/0132060116.01.TZZZZZZZ.jpg,"Hughes, Edward | Hiley, John | Brown, Keith | Smith, Ian McKenzie",Electrical engineering -- Textbooks | Electronics -- Textbooks,9.78013E+12,New York : Pearson/Prentice Hall,0,0
32,Schaum's outline of theory and problems of electric circuits,https://images-na.ssl-images-amazon.com/images/P/0070601739.01.TZZZZZZZ.jpg,"Nahvi, Mahmood | Edminister, Joseph","Electric circuits -- Problems, exercises, etc",9.78007E+12,New Delhi : McGraw-Hill,0,0
33,Handbook of fingerprint recognition,https://images-na.ssl-images-amazon.com/images/P/1848822537.01.TZZZZZZZ.jpg,"Maltoni, Davide",Fingerprints -- Identification | Fingerprints -- Classification,9.78185E+12,London : Springer,0,0
34,Friction ridge skin : comparison and identification of fingerprints,https://images-na.ssl-images-amazon.com/images/P/084939502X.01.TZZZZZZZ.jpg,"Cowger, James F",Fingerprints -- Identification | Criminals -- Identification,9.78085E+12,New York : Elsevier,0,0
35,Automatic fingerprint recognition systems,https://images-na.ssl-images-amazon.com/images/P/0387955933.01.TZZZZZZZ.jpg,"Ratha, Nalini K | Bolle, Ruud",Fingerprints -- Identification | Fingerprints -- Data processing,9.78039E+12,New York : Springer,0,0
36,Advances in fingerprint technology,https://images-na.ssl-images-amazon.com/images/P/0849309239.01.TZZZZZZZ.jpg,"Lee, Henry C | Gaensslen, R. E",Fingerprints | Fingerprints -- Data processing,9.78085E+12,Boca Raton Fla. : CRC Press,0,0
37,Fingerprints : analysis and understanding,https://images-na.ssl-images-amazon.com/images/P/1420068644.01.TZZZZZZZ.jpg,"Hawthorne, Mark R",Fingerprints -- Identification | Fingerprints -- Classification,9.78142E+12,Boca Raton : CRC Press,0,0
38,Quantitative-qualitative friction ridge analysis : an introduction to basic and advanced ridgeology,https://images-na.ssl-images-amazon.com/images/P/0849370078.01.TZZZZZZZ.jpg,"Ashbaugh, David R",Fingerprints | Fingerprints -- Identification | Fingerprints -- Classification | Criminals -- Identification | Forensic sciences,9.78085E+12,Boca Raton Fla. : CRC Press,0,0
39,Fingerprints and other ridge skin impressions,https://images-na.ssl-images-amazon.com/images/P/0415271754.01.TZZZZZZZ.jpg,"Champod, Christophe",Fingerprints | Fingerprints -- Identification | Criminal investigation | Forensic sciences,9.78042E+12,Boca Raton FL : CRC Press,0,0
40,Computer organization and design : the hardware/software interface,/opac-tmpl/lib/famfamfam/silk/book.png,"Patterson, David A | Hennessy, John L",Computer organization | Computer engineering | Computer interfaces,9788181475976;,New Delhi : Morgan Kaufmann,0,0
41,A VHDL primer,https://images-na.ssl-images-amazon.com/images/P/0130965758.01.TZZZZZZZ.jpg,"Bhasker, Jayaram",VHDL (Computer hardware description language) | Behavioral Modeling | Dataflow,0130965758;,New Delhi : Prentice Hall,0,0
42,Digital design,https://images-na.ssl-images-amazon.com/images/P/8131714500.01.TZZZZZZZ.jpg,"Mano, M. Morris | Ciletti, Michael D",Electronic digital computers -- Circuits | Logic circuits | Logic design | Digital integrated circuits,9.78813E+12,New Delhi : Pearson,0,0
43,Logic in computer science : modelling and reasoning about systems,https://images-na.ssl-images-amazon.com/images/P/052154310X.01.TZZZZZZZ.jpg,"Huth, Michael | Ryan, Mark",Computer logic | Logic programming,052154310X;,New Delhi : Cambridge University Press,0,0
44,Take back your life! : using Microsoft Office Outlook 2007 to get organized and stay organized,https://images-na.ssl-images-amazon.com/images/P/0735623430.01.TZZZZZZZ.jpg,"McGhee, Sally | Wittry, John",Microsoft Outlook | Time management -- Computer programs | Personal information management -- Computer programs | Electronic mail systems -- Computer programs,9.78074E+12,New Delhi. : Microsoft Press,0,0
45,Microsoft office excel 2007 step by step,https://images-na.ssl-images-amazon.com/images/P/073562304X.01.TZZZZZZZ.jpg,"Frye, Curtis",Microsoft Excel (Computer file) | Business -- Computer programs | Electronic spreadsheets,9.78074E+12,New Delhi : Microsoft Press,0,0
46,Microsoft office word 2007 step by step,https://images-na.ssl-images-amazon.com/images/P/0735623023.01.TZZZZZZZ.jpg,"Cox, Joyce",Microsoft Office ;  OfficePackage,9.78074E+12,Redmond WA : Microsoft Press,0,0
47,Microsoft office powerpoint 2007 step by step,https://images-na.ssl-images-amazon.com/images/P/0735623015.01.TZZZZZZZ.jpg,"Cox, Joyce | Lambert, Joan",Microsoft PowerPoint (Computer file) | Presentation graphics software,9780735623019;,New Delhi. : Microsoft Press,0,0
48,"Seamless teamwork : using Microsoft SharePoint technologies to collaborate, innovate, and drive business in new ways  ",https://images-na.ssl-images-amazon.com/images/P/0735625611.01.TZZZZZZZ.jpg,"Sampson, Michael",Microsoft SharePoint (Electronic resource) | Intranets (Computer networks) | Web servers | Web portals,9780735625617;,New Delhi. : Microsoft,0,0
49,"Design to sell : use Microsoft Publisher to plan, write and design great marketing pieces  ",https://images-na.ssl-images-amazon.com/images/P/0735622604.01.TZZZZZZZ.jpg,"Parker, Roger C",Microsoft Publisher | Desktop publishing,0735622604;,Redmond Wash. : Microsoft Press,0,0
50,Share your story : blogging with MSN Spaces,https://images-na.ssl-images-amazon.com/images/P/0735622418.01.TZZZZZZZ.jpg,"Murray, Katherine | Torres, Michael","MSN Spaces -- Handbooks, manuals, etc | Blogs -- Computer programs -- Handbooks, manuals, etc | Web publishing -- Computer programs -- Handbooks, manuals, etc | Web sites -- Authoring programs -- Handbooks, manuals, etc",9780735622418;,New Delhi. : Microsoft Press,0,0
51,Operating system concepts,https://images-na.ssl-images-amazon.com/images/P/8126520515.01.TZZZZZZZ.jpg,"Silberschatz, Abraham | Galvin, Peter B | Gagne, Greg",Operating systems (Computers),9.78813E+12,Hoboken NJ : Wiley,0,0
52,Operating systems : internals and design principles,https://images-na.ssl-images-amazon.com/images/P/8131725286.01.TZZZZZZZ.jpg,"Stallings, William",Operating systems (Computers),9.78813E+12,New Delhi. : Prentice Hall,0,0
53,Operating systems : design and implementation,https://images-na.ssl-images-amazon.com/images/P/8120329554.01.TZZZZZZZ.jpg,"Tanenbaum, Andrew S | Woodhull, Albert S",MINIX | Operating systems (Computers),9.78812E+12,New Delhi: Pearson,0,0
54,Java : how to program,https://images-na.ssl-images-amazon.com/images/P/0132222205.01.TZZZZZZZ.jpg,"Deitel, Paul J",Java (Computer program language),0132222205;,New Delhi : Prentice Hall,0,0
55,Programming language pragmatics,https://images-na.ssl-images-amazon.com/images/P/0126339511.01.TZZZZZZZ.jpg,"Scott, Michael Lee",Programming languages (Electronic computers),9780126339512;,San Francisco CA : Morgan Kaufmann,0,0
56,The C++ programming language,https://images-na.ssl-images-amazon.com/images/P/8131705218.01.TZZZZZZZ.jpg,"Stroustrup, Bjarne",C++ (Computer program language),9.78813E+12,Reading Mass. : Addison-Wesley,0,0
57,Python in a nutshell,https://images-na.ssl-images-amazon.com/images/P/0596001886.01.TZZZZZZZ.jpg,"Martelli, Alex",Python (Computer program language),0596001886;,Beijing ; Sebastopol CA : O'Reilly,0,0
58,Python cookbook,https://images-na.ssl-images-amazon.com/images/P/817366479X.01.TZZZZZZZ.jpg,"Martelli, Alex | Martelli Ravenscroft, Anna | Ascher, David",Python (Computer program language),9.78817E+12,Beijing ; O'Reilly,0,0
59,Learning python,https://images-na.ssl-images-amazon.com/images/P/0596513984.01.TZZZZZZZ.jpg,"Lutz, Mark",Python (Computer program language),9780596513986;,Beijing ; Sebastopol : O'Reilly,0,0
60,C programming language,https://images-na.ssl-images-amazon.com/images/P/8120305965.01.TZZZZZZZ.jpg,"Kernighan, Brian W | Ritchie, Dennis M",C (Computer program language),9.78812E+12,Englewood Cliffs N.J. : Prentice Hall,0,0
61,More effective C++ : 35 new ways to improve your programs and designs,https://images-na.ssl-images-amazon.com/images/P/8177589806.01.TZZZZZZZ.jpg,"Meyers, Scott (Scott Douglas)",C++ (Computer program language),9.78818E+12,Reading Mass. : Addison-Wesley,0,0
62,Effective C++ : 55 specific ways to improve your programs and designs,https://images-na.ssl-images-amazon.com/images/P/8131714802.01.TZZZZZZZ.jpg,"Meyers, Scott (Scott Douglas)",C++ (Computer program language),9.78813E+12,Upper Saddle River NJ : Addison-Wesley,0,0
63,Data structures and algorithms in Java,https://images-na.ssl-images-amazon.com/images/P/8126515228.01.TZZZZZZZ.jpg,"Goodrich, Michael T | Tamassia, Roberto",Java (Computer program language) | Data structures (Computer science) | Computer algorithms,9.78813E+12,New Delhi : Wiley,0,0
64,C programming : a modern approach,https://images-na.ssl-images-amazon.com/images/P/0393979504.01.TZZZZZZZ.jpg,"King, K. N",C (Computer program language),9.78039E+12,New York : W. W. Norton,0,0
65,Core python programming,https://images-na.ssl-images-amazon.com/images/P/8131711889.01.TZZZZZZZ.jpg,"Chun, Wesley",Python (Computer program language),9.78813E+12,Upper Saddle River NJ : Prentice Hall,0,0
66,The nature of statistical learning theory,https://images-na.ssl-images-amazon.com/images/P/0387987800.01.TZZZZZZZ.jpg,"Vapnik, Vladimir Naumovich",Computational learning theory | Reasoning,9.78039E+12,New York : Springer,0,0
67,Security engineering : a guide to building dependable distributed systems,https://images-na.ssl-images-amazon.com/images/P/8126516674.01.TZZZZZZZ.jpg,"Anderson, Ross",Computer security | Electronic data processing -- Distributed processing,9.78813E+12,New Delhi : Wiley,0,0
68,Security and usability : designing secure systems that people can use,https://images-na.ssl-images-amazon.com/images/P/0596008279.01.TZZZZZZZ.jpg,"Cranor, Lorrie Faith | Garfinkel, Simson",Computer security,9.7806E+12,Beijing ; Sebastapol CA : O'Reilly,0,0
69,"Handbook of information security :  key concepts, infrastructure, standards, and protocols, vol I ",https://images-na.ssl-images-amazon.com/images/P/0471648302.01.TZZZZZZZ.jpg,"Bidgoli, Hossein",Computer networks -- Security measures | Home computer networks,9.78047E+12,Hoboken : Wiley,0,0
70,"Handbook of information security :  information warfare; social, legal, and international issues; and security foundations, vol II ",https://images-na.ssl-images-amazon.com/images/P/0471648310.01.TZZZZZZZ.jpg,"Bidgoli, Hossein",Computer networks -- Security measures | Home computer networks,471648310,Hoboken : Wiley,0,0
71,"Handbook of information security :  threats, vulnerabilities, prevention, detection, and management, vol III ",https://images-na.ssl-images-amazon.com/images/P/0471648329.01.TZZZZZZZ.jpg,"Bidgoli, Hossein",Computer networks -- Security measures | Home computer networks,9.78047E+12,Hoboken : Wiley,0,0
72,Phishing and countermeasures : understanding the increasing problem of electronic identity theft,https://images-na.ssl-images-amazon.com/images/P/0471782459.01.TZZZZZZZ.jpg,"Jakobsson, Markus | Myers, Steven",Phishing | Identity theft -- Prevention | Computer security,9.78047E+12,Hoboken N.J. : Wiley,0,0
73,Crimeware : understanding new attacks and defenses,https://images-na.ssl-images-amazon.com/images/P/0321501950.01.TZZZZZZZ.jpg,"Jakobsson, Markus | Ramzan, Zulfikar",Computer security | Internet -- Security measures | Computer crimes,9.78032E+12,Upper Saddle River NJ : Addison-Wesley,0,0
74,Introduction to computer security,https://images-na.ssl-images-amazon.com/images/P/0321247442.01.TZZZZZZZ.jpg,"Bishop, Matt (Matthew A.)",Computer security,9.78032E+12,Boston : Addison-Wesley,0,0
75,Fundamentals of computer security,https://images-na.ssl-images-amazon.com/images/P/8181289161.01.TZZZZZZZ.jpg,"Pieprzyk, Josef",Computer security | Cryptography,9.78818E+12,New York : Springer,0,0
76,Microsoft encyclopedia of security,https://images-na.ssl-images-amazon.com/images/P/0735618771.01.TZZZZZZZ.jpg,"Tulloch, Mitch",Computer security -- Encyclopedias | Computer networks -- Security measures -- Encyclopedias,0735618771;,Redmond Wash. : Microsoft Press,0,0
77,An integrated approach to software engineering,https://images-na.ssl-images-amazon.com/images/P/038720881X.01.TZZZZZZZ.jpg,"Jalote, Pankaj",Software engineering,9.78039E+12,New York : Springer,0,0
78,Software project management in practice,https://images-na.ssl-images-amazon.com/images/P/0201737213.01.TZZZZZZZ.jpg,"Jalote, Pankaj",Computer software -- Development -- Management,9.7802E+12,Boston : Addison-Wesley,0,0
79,CMM in practice : processes for executing software projects at Infosys,https://images-na.ssl-images-amazon.com/images/P/0201616262.01.TZZZZZZZ.jpg,"Jalote, Pankaj",Software engineering | Capability maturity model (Computer software),9.7802E+12,Reading Mass : Addison-Wesley,0,0
80,Interaction design : beyond human-computer interaction,https://images-na.ssl-images-amazon.com/images/P/8126512865.01.TZZZZZZZ.jpg,"Sharp, Helen | Rogers, Yvonne | Preece, Jenny",Human-computer interaction,9.78813E+12,Chichester ; Hoboken NJ : Wiley,0,0
81,Software project management : a unified framework,https://images-na.ssl-images-amazon.com/images/P/8177583786.01.TZZZZZZZ.jpg,"Royce, Walker",Computer software -- Development -- Management,9.78818E+12,Reading Mass. : Addison-Wesley,0,0
82,Learning the bash shell,https://images-na.ssl-images-amazon.com/images/P/0596009658.01.TZZZZZZZ.jpg,"Newham, Cameron | Rosenblatt, Bill",UNIX shells | UNIX (Computer file) | User interfaces (Computer systems),0596009658 ;,Mumbai ; O'Reilly,0,0
83,Linux in a nutshell,https://images-na.ssl-images-amazon.com/images/P/0596009305.01.TZZZZZZZ.jpg,"Siever, Ellen | Siever, Ellen. Linux in a nutshell",Linux | Operating systems (Computers),596009305,Beijing ; Sebastopol CA : O'Reilly,0,0
84,UNIX power tools,https://images-na.ssl-images-amazon.com/images/P/0596003307.01.TZZZZZZZ.jpg,"Powers, Shelley | Peek, Jerry. Unix power tools",UNIX (Computer file) | Utilities (Computer programs),0596003307;,Sebastopol CA : O'Reilly,0,0
85,An introduction to support vector machines : and other kernel-based learning methods,https://images-na.ssl-images-amazon.com/images/P/0521780195.01.TZZZZZZZ.jpg,"Cristianini, Nello | Shawe-Taylor, John",Support vector machines | Kernel functions,9.78052E+12,New York : Cambridge University Press,0,0
86,"Learning with kernels : support vector machines, regularization, optimization, and beyond  ",https://images-na.ssl-images-amazon.com/images/P/0262194759.01.TZZZZZZZ.jpg,"Schalkopf, Bernhard | Smola, Alexander J",Support vector machines | Kernel functions,9.78026E+12,Cambridge Mass. : MIT Press,0,0
87,Vision with direction: a systematic introduction to image processing and computer vision,https://images-na.ssl-images-amazon.com/images/P/3540273220.01.TZZZZZZZ.jpg,"Bigun, Josef",Image processing | Computer vision,9.78354E+12,Berlin ; New York : Springer,0,0
88,Digital image processing : PIKS inside,https://images-na.ssl-images-amazon.com/images/P/0471374075.01.TZZZZZZZ.jpg,"Pratt, William K",Image processing -- Digital techniques,0471374075 ;,New York : Wiley,0,0
89,"Web services : concepts, architectures, and applications  ",https://images-na.ssl-images-amazon.com/images/P/3540440089.01.TZZZZZZZ.jpg,"Alonso, Gustavo",Web services | Web site development | Middleware,3540440089;,New York : Springer,0,0
90,"Compilers : principles, techniques, & tools  ",https://images-na.ssl-images-amazon.com/images/P/8131721019.01.TZZZZZZZ.jpg,"Aho, Alfred V | Sethi, Ravi | Ullman, Jeffrey D",Compilers (Computer programs),9788131721018;,Boston : Pearson Education,0,0
91,Advanced compiler design and implementation,https://images-na.ssl-images-amazon.com/images/P/1558603204.01.TZZZZZZZ.jpg,"Muchnick, Steven S",Compilers (Computer programs) | Systems programming (Computer science),1558603204;,San Francisco Calif. : Morgan Kaufmann,0,0
92,Logic for applications,https://images-na.ssl-images-amazon.com/images/P/0387948937.01.TZZZZZZZ.jpg,"Nerode, Anil | Shore, Richard A","Computer science -- Mathematics | Logic, Symbolic and mathematical",9.78039E+12,New York : Springer,0,0
93,"RFID : applications, security, and privacy ",https://images-na.ssl-images-amazon.com/images/P/0321290968.01.TZZZZZZZ.jpg,"Rosenberg, Beth","Inventory control -- Automation | Radio frequency identification systems | Privacy, Right of -- United States",9.78032E+12,Upper Saddle River NJ : Addison-Wesley,0,0
94,Database security,https://images-na.ssl-images-amazon.com/images/P/0201593750.01.TZZZZZZZ.jpg,"Castano, Silvana",Database security,9.7802E+12,New York N.Y. : Addison-Wesley,0,0
95,Computer forensics and cyber crime : an introduction,https://images-na.ssl-images-amazon.com/images/P/0132447495.01.TZZZZZZZ.jpg,"Britz, Marjie",Computer security | Computer crimes,9.78013E+12,Upper Saddle River N.J. : Pearson,0,0
96,"Cyber crime investigations : bridging the gaps between security professionals, law enforcement, and prosecutors  ",https://images-na.ssl-images-amazon.com/images/P/1597491330.01.TZZZZZZZ.jpg,"Reyes, Anthony",Computer crimes -- Investigation,9.7816E+12,Rockland : Syngress,0,0
97,"Data mining for intelligence, fraud, & criminal detection : advanced analytics & information sharing technologies  ",https://images-na.ssl-images-amazon.com/images/P/1420067230.01.TZZZZZZZ.jpg,"Westphal, Christopher R. (Christopher Ralph)",Data mining in law enforcement -- United States,9.78142E+12,Boca Raton : CRC Press,0,0
98,Knowledge discovery for counterterrorism and law enforcement,https://images-na.ssl-images-amazon.com/images/P/1420073990.01.TZZZZZZZ.jpg,"Skillicorn, David B",Data mining in law enforcement | Terrorism -- Prevention,9.78142E+12,Boca Raton : CRC Press,0,0
99,Model-driven design using business patterns,https://images-na.ssl-images-amazon.com/images/P/3540301542.01.TZZZZZZZ.jpg,"Hruby, Pavel",Business -- Computer programs | Model-driven software architecture,9.78354E+12,New York : Springer,0,0
100,"Biometric system and data analysis : design, evaluation, and data mining  ",https://images-na.ssl-images-amazon.com/images/P/0387776257.01.TZZZZZZZ.jpg,"Dunstone, Ted | Yager, Neil",Biometry | Mathematical analysis | Data mining,9.78039E+12,New York : Springer,0,0
101,Cloud application architectures : [building applications and infrastructure in the Cloud],https://images-na.ssl-images-amazon.com/images/P/0596156367.01.TZZZZZZZ.jpg,"Reese, George",Internet programming | Cloud computing | Cloud Computing,0596156367;,Sebastopol CA : O'Reilly Media,0,0
102,Introduction to Java programming : comprehensive version,https://images-na.ssl-images-amazon.com/images/P/8131729583.01.TZZZZZZZ.jpg,"Liang, Y. Daniel",Java (Computer program language),9.78813E+12,Boston : Prentice Hall,0,0
103,Computer networks,https://images-na.ssl-images-amazon.com/images/P/8177581651.01.TZZZZZZZ.jpg,"Tanenbaum, Andrew S",Computer networks,9.78818E+12,Upper Saddle River NJ : Prentice Hall,0,0
104,A book on c : programming in c,https://images-na.ssl-images-amazon.com/images/P/8131724344.01.TZZZZZZZ.jpg,"Kelley, Al | Pohl, Ira",C (Computer program language),9.78813E+12,Reading Mass. : Addison-Wesley,0,0
105,Data mining and predictive analysis : intelligence gathering and crime analysis,https://images-na.ssl-images-amazon.com/images/P/0750677961.01.TZZZZZZZ.jpg,"McCue, Colleen","Crime analysis | Data mining in law enforcement | Law enforcement -- Data processing | Criminal behavior, Prediction of",9.78075E+12,Boston : Butterworth-Heinemann,0,0
106,Investigative data mining for security and criminal detection,https://images-na.ssl-images-amazon.com/images/P/0750676132.01.TZZZZZZZ.jpg,"Mena, Jesus",Data mining | Computer security | Crime prevention,750676132,Amsterdam ; Boston MA : Butterworth-Heinemann,0,0
107,Fundamentals of communication systems,https://images-na.ssl-images-amazon.com/images/P/8131705730.01.TZZZZZZZ.jpg,"Proakis, John G | Salehi, Masoud",Telecommunication systems | Telecommunication,9.78813E+12,Upper Saddle River N.J. : Pearson/Prentice Hall,0,0
108,Digital communications : fundamentals and applications,https://images-na.ssl-images-amazon.com/images/P/8131720926.01.TZZZZZZZ.jpg,"Sklar, Bernard",Digital communications,9788131720929;,Upper Saddle River N.J. : Prentice Hall,0,0
109,Computer networking : a top-down approach featuring the internet,https://images-na.ssl-images-amazon.com/images/P/8177588788.01.TZZZZZZZ.jpg,"Kurose, James F | Ross, Keith W",Internet | Computer networks,9.78818E+12,Boston : Pearson,0,0
110,"Algorithm design : foundations, analysis, and internet examples  ",https://images-na.ssl-images-amazon.com/images/P/8126509864.01.TZZZZZZZ.jpg,"Goodrich, Michael T | Tamassia, Roberto",Computer algorithms | Data structures (Computer science),9.78813E+12,New York : Wiley,0,0
111,Algorithm design,https://images-na.ssl-images-amazon.com/images/P/813170310X.01.TZZZZZZZ.jpg,"Kleinberg, Jon | Tardos, Eva",Computer algorithms | Data structures (Computer science),9.78813E+12,Boston : Pearson Education,0,0
112,Machine learning,https://images-na.ssl-images-amazon.com/images/P/1259096955.01.TZZZZZZZ.jpg,"Mitchell, Tom M",Machine learning | Computer algorithms,9.78126E+12,New York : McGraw Hill,0,0
